,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,Profit,ROMS,ROMS%
68,112,West Palm Beach,Florida,Region 1,Old,2926,18089,15163,518.22,5.1822
118,113,Knoxville,Tennessee,Region 2,Old,3086,56504,53418,1730.98,17.3098
145,114,Renton,Washington,Region 2,Old,2754,44635,41881,1520.73,15.2073
128,115,McAllen,Texas,Region 2,Old,2282,43924,41642,1824.8,18.248
100,116,Woodbridge,New Jersey,Region 1,Old,3319,19811,16492,496.9,4.968999999999999
86,117,Shreveport,Louisiana,Region 1,Old,3081,56140,53059,1722.14,17.221400000000003
142,118,Bellevue,Washington,Region 2,Old,2542,40462,37920,1491.74,14.9174
20,119,Huntington Beach,California,Region 2,Old,2527,54145,51618,2042.66,20.4266
38,120,Santa Clarita,California,Region 2,Old,2967,51882,48915,1648.63,16.4863
91,121,Sterling Heights,Michigan,Region 1,Old,2357,35022,32665,1385.87,13.858699999999999
2,122,Mobile,Alabama,Region 1,Old,2838,49290,46452,1636.79,16.3679
53,123,Bridgeport,Connecticut,Region 1,Old,2914,47108,44194,1516.61,15.166099999999998
13,124,Daly City,California,Region 2,Old,2658,20703,18045,678.89,6.7889
93,125,Rochester,Minnesota,Region 1,Old,2854,18099,15245,534.16,5.3416
71,126,Sandy Springs,Georgia,Region 1,Old,2759,18942,16183,586.55,5.8655
79,127,Cedar Rapids,Iowa,Region 1,Old,2553,52072,49519,1939.64,19.3964
70,128,Columbus,Georgia,Region 1,Old,2877,55203,52326,1818.77,18.1877
23,129,Moreno Valley,California,Region 2,Old,3507,59254,55747,1589.59,15.8959
65,130,Pompano Beach,Florida,Region 1,Old,2608,21603,18995,728.34,7.2834
72,131,Savannah,Georgia,Region 1,Old,2028,36029,34001,1676.58,16.7658
138,132,West Jordan,Utah,Region 2,Old,2773,21056,18283,659.32,6.5932
81,133,Des Moines,Iowa,Region 1,Old,2995,57432,54437,1817.6,18.176
149,134,Green Bay,Wisconsin,Region 1,Old,3586,18454,14868,414.61,4.146100000000001
40,135,Santa Rosa,California,Region 2,Old,3067,59060,55993,1825.66,18.256600000000002
36,136,San Mateo,California,Region 2,Old,1811,19426,17615,972.67,9.7267
92,137,Warren,Michigan,Region 1,Old,2736,47262,44526,1627.41,16.2741
25,138,Norwalk,California,Region 2,Old,3112,19703,16591,533.13,5.3313
85,139,Lafayette,Louisiana,Region 1,Old,2603,40255,37652,1446.48,14.4648
112,140,Providence,Rhode Island,Region 1,Old,3191,62337,59146,1853.53,18.5353
117,141,Chattanooga,Tennessee,Region 2,New,3587,55357,51770,1443.27,14.4327
6,142,Tempe,Arizona,Region 2,New,2911,48954,46043,1581.69,15.8169
75,143,Joliet,Illinois,Region 1,New,3279,48315,45036,1373.47,13.7347
31,144,Rancho Cucamonga,California,Region 2,New,2945,52366,49421,1678.13,16.7813
19,145,Glendale,California,Region 2,New,2363,49376,47013,1989.55,19.8955
99,146,Paterson,New Jersey,Region 1,New,2251,34603,32352,1437.23,14.372300000000001
121,147,Brownsville,Texas,Region 2,New,3675,63148,59473,1618.31,16.1831
77,148,Rockford,Illinois,Region 1,New,2648,43377,40729,1538.1,15.380999999999998
123,149,College Station,Texas,Region 2,New,2994,22457,19463,650.07,6.5007
43,150,Thousand Oaks,California,Region 2,New,2431,40141,37710,1551.21,15.5121
